title,image,published,description,category,author,image_relation,fake_news_label
Nereus Announces Launch of DAO and Staking Program: Empowering Users to Earn Rewards and Influence the Future,/next-assets/images/schema-image-default.png,2025-02-17 16:42:00+00:00,"HONG KONG, Feb. 17, 2025 /PRNewswire/ -- Nereus, a leading decentralized finance (DeFi) platform, is excited to announce the launch of its Staking Program and Governance Decentralized Autonomous Organization (DAO),",finance,PRNewswire,No,Real
UK Supreme Court Rejects Reeves’ Motor Finance Intervention,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iPrTySUD0e3k/v1/1200x808.jpg,2025-02-17 15:30:51+00:00,"The UK’s Supreme Court refused to let the Treasury intervene in a landmark court case over controversial car loans, dealing a blow to Chancellor Rachel Reeves who had sought to argue that the suit was hindering Britain’s regulatory environment.",general,Unknown,Yes,Real
"As a personal finance expert, this is the worst savings advice I see on social media",https://s.yimg.com/ny/api/res/1.2/qUTz_2o9whajwUpsKxkjzQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2025-02/b7af8b30-eb0a-11ef-bfff-aa2fc8acf795,2025-02-17 14:00:13+00:00,"Social media is chock full of money and savings advice — and a lot of it is bad. Here’s the worst savings advice on social media, according to one financial expert.",general,Ivana Pino,No,Real
Grand Theft Auto 6 may release on PC only a few months after the console launch,https://static.tweaktown.com/news/1/0/103321_13312_grand-theft-auto-6-may-release-on-pc-only-few-months-after-the-console-launch_full.jpg,2025-02-17 12:33:03+00:00,"Corsair's VP of finance has said during an earnings call that he believes Grand Theft Auto 6 will be released on PC, and it's not one whole year later.",game,Jak Connor,Yes,Real
Flatbed operator and aggregator PS Logistics holds on to debt rating at Moody’s,https://www.freightwaves.com/uploads/2025/02/17/F35_6210-Enhanced-NR-Edit-1200x675.jpg,2025-02-17 11:20:51+00:00,"PS Logistics hangs on to its debt rating at Moody’s, giving a look at the finances of the privately held flatbed operator.","logistic, industry",John Kingston,Unknown,Unknown
FTI Consulting Strengthens Business Transformation Capabilities with Addition of Senior Managing Director Timothée Fraisse,https://ml.globenewswire.com/Resource/Download/7baf2810-17ee-492d-8c50-d64cadf49073,2025-02-17 07:00:38+00:00,"PARIS, Feb. 17, 2025 (GLOBE NEWSWIRE) -- FTI Consulting, Inc (NYSE: FCN) today announced the appointment of Timothée Fraisse as a Senior Managing Director in the firm's Corporate Finance & Restructuring segment in France....",company,"FTI Consulting, Inc.",Unknown,Unknown
New to investing? Here are 7 SC-licensed apps in M'sia to take control of your finances.,https://vulcanpost.com/wp-content/uploads/2025/02/Wealth-Management-Apps-001.png,2025-02-17 06:25:24+00:00,With one site.,technology,Ryan Tan,Unknown,Unknown
MrBeast Shuts Down 'MrBroke' Claim After Getting Caught Flying Coach—Says He's 'Just Chilling',https://cdn.benzinga.com/files/images/story/2025/02/17/MrBeast-photo-via-Shutterstock.jpeg?width=1200&height=800&fit=crop,2025-02-17 05:58:42+00:00,"A viral social media post sparked speculation about Jimmy Donaldson, better known as MrBeast's finances after a user spotted him flying economy on EVA Air.

What Happened: On Sunday, a user on X, form...",finance,Ananya Gairola,Unknown,Unknown
CENTCOM kills Hurras al-Din operative in Syria - UPI.com,https://cdnph.upi.com/ph/st/th/8121739766845/2025/upi_com/04368b9a1d3c024541d56f390a046551/v2.1/CENTCOM-kills-Hurras-al-Din-operative-in-Syria.jpg?lg=4,2025-02-17 05:05:15+00:00,"The U.S. military conducted airstrikes in northwest Syria, killing a senior finance and logistics official of the al-Qaida affiliate Hurras al-Din.",world,Darryl Coote,Unknown,Unknown
Star Gets Potential Lifeline as Oaktree Offers Debt Refinancing,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ij8l4roNWbY8/v0/1200x800.jpg,2025-02-16 23:13:01+00:00,"Star Entertainment Group Ltd. received a potential lifeline from alternative asset manager Oaktree Capital Management, which offered to refinance A$650 million ($413 million) of the struggling Australian casino operator’s debt.",general,Unknown,Yes,Real
"Chicago Atlantic Real Estate Finance, Inc. (NASDAQ:REFI) Sees Large Decline in Short Interest",https://www.marketbeat.com/logos/chicago-atlantic-real-estate-finance-inc-logo-1200x675.png?v=20240528162548,2025-02-16 14:27:59+00:00,"Chicago Atlantic Real Estate Finance, Inc. (NASDAQ:REFI - Get Free Report) saw a large decline in short interest during the month of January. As of January 31st, there was short interest totalling 263,800 shares, a decline of 18.0% from the January 15th total of 321,900 shares. Currently, 1.6% of t...",finance,MarketBeat,Yes,Real
Warren Buffett Continues To Quietly Sell: More 13F Intrigue,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/492444164/image_492444164.jpg?io=getty-c-w1536,2025-02-16 12:25:41+00:00,"Author and entrepreneur. My articles typically cover macroeconomic trends, portfolio strategy, value investing, and behavioral finance. I like to profit from the biases and constraints of other invest...","business, finance",SeekingAlpha.com,Unknown,Unknown
Fed's focus shift: From data to policy,https://s.yimg.com/ny/api/res/1.2/sjHUn1oeIoGPiBWOS88f6w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY-/https://s.yimg.com/os/creatr-uploaded-images/2025-02/e77675e0-e876-11ef-bffb-57f755a42a7f,2025-02-16 12:00:40+00:00,"As the country faces whiplash under Trump's deluge of executive actions, Jerome Powell and the Federal Open Market Committee are left reacting despite the data they usually rely on, explained Apollo Chief Economist Torsten Sløk to Yahoo Finance Executive Editor Brian Sozzi on a recent episode of Ope...",general,Brian Sozzi,Unknown,Unknown
Synovus Financial: A Beneficiary Of Banking Deregulation Under Trump,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1977075709/image_1977075709.jpg?io=getty-c-w1536,2025-02-16 10:23:39+00:00,"Michael A. Gayed is portfolio manager, and author of five award-winning research papers on market anomalies and investing. He has a BS with a double major in Finance & Management from NYU Stern School...","business, finance",SeekingAlpha.com,Unknown,Unknown
East Timor's Challenges Two Decades After Independence,https://static01.nyt.com/images/2025/02/11/multimedia/00easttimor-HP/00easttimor-01-jgcw-facebookJumbo.jpg,2025-02-16 05:01:18+00:00,"East Timor has become a stable democracy after securing independence in 2002. But its finances are precarious, and nearly half of its people live in poverty.",world,Sui-Lee Wee,Yes,Real
"What’s my horoscope today? Pisces, help out family with finances (02/16/25)",https://www.mlive.com/resizer/v2/SAGJVB5QCZCNFBN2U2NE2O4GTE.png?auth=c0f524b9dcf3ae13e784b4cce0a0efa41ba99b79ecc98cc4246df8f930914114&width=1280&quality=90,2025-02-16 05:01:00+00:00,"See Zodiac signs and horoscopes on 02/16/25 for today’s birthday and Aquarius, Pisces, Aries, Taurus, Gemini, Cancer, Leo, Virgo, Libra, Scorpio, Sagittarius, Capricorn.","regional, grand-rapids, michigan",Nancy Black |,Yes,Real
Fox News Politics Newletter: Duffy Calls Out Clinton,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/02/1024/512/duffy-clinton.jpg?ve=1&tl=1,2025-02-17 22:10:12+00:00,"Welcome to the Fox News Politics newsletter, with the latest updates on the Trump administration, exclusive interviews and more Fox News politics content.",general,Fox News,Unknown,Unknown
From Tech to Politics: How Elon Musk Is Empowering Far Right Across the Globe - Tesla (NASDAQ:TSLA),https://cdn.benzinga.com/files/images/story/2025/02/17/Elon-Musk-Personal-X-Account-With-Afd-An.jpeg?width=1200&height=800&fit=crop,2025-02-17 21:20:16+00:00,"According to a report, Elon Musk is supporting right-wing political movements and policies in no less than 18 countries.","finance, trading",Bibhu Pattnaik,Unknown,Unknown
Ivanka Trump admits making parents proud should NOT matter,https://i.dailymail.co.uk/1s/2025/02/17/18/95302901-0-image-m-16_1739815373792.jpg,2025-02-17 19:06:41+00:00,"The mom-of-three made the decision to quit a career in politics in November 2022

Ivanka, 43, took to Instagram and shared a post about 'your parents' pride'

Ivanka Trump has hinted at her relationsh...",national,Kirsty Mccormack,Yes,Real
2:00PM Water Cooler 2/17/2025 | naked capitalism,https://www.nakedcapitalism.com/wp-content/uploads/2025/02/mullen_normal.png,2025-02-17 19:00:11+00:00,"~ Today's Water Cooler: Politics, Syndemics; Humphrey's Executor on the chopping block; Elon's (putative) baby momma; Velvet ropes and the American drea",economy,Lambert Strether,No,Fake
This Is the Way to Stop Elon Musk,https://theintercept.com/wp-content/uploads/2025/02/GettyImages-2198425937.jpg?fit=5551%2C3701&w=2048,2025-02-17 17:44:19+00:00,Senate Democrats have the power to block federal contracts to Tesla and SpaceX. It’s the path to pushing Musk out of politics.,politics,Sunjeev Bery,Unknown,Unknown
Trump’s Napoleon Quote Baits the Left Into Yet Another Meltdown,https://media.breitbart.com/media/2025/02/GettyImages-587490446-e1739813061163.jpg,2025-02-17 17:38:16+00:00,"“He who saves his Country does not violate any law,” Trump posted over the weekend. | Politics",politics,John Carney,Yes,Real
"Watching 'Shoah' in Berlin, 80 Years After Auschwitz",https://static01.nyt.com/images/2025/02/17/arts/17shoah-02/17shoah-02-facebookJumbo.png,2025-02-17 17:36:09+00:00,"Some commentators, including film critics and politicians, have expressed fears that politics will eclipse the movies themselves. Would scrubbing the Berlinale of political commitments altogether allo...",general,Beatrice Loayza,Yes,Real
Are Elon Musk's politics costing Tesla sales?,"https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/images/gettyimages-2185095309-67b36a2ad179d.jpg?crop=1.00xw:0.847xh;0,0.153xh&resize=1200:*",2025-02-17 17:03:00+00:00,"Elon Musk is riding high politically, but his marquee company isn't doing as well. On Thursday, electric car manufacturer Tesla released its sales figures for the year's 4th quarter and last year over...","regional, jackson, mississippi",Chris Isidore,Yes,Real
Are Elon Musk's politics costing Tesla sales?,"https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/images/gettyimages-2185095309-67b36a2ad179d.jpg?crop=1.00xw:0.847xh;0,0.153xh&resize=1200:*",2025-02-17 17:03:00+00:00,"Elon Musk is riding high politically, but his marquee company isn't doing as well. On Thursday, electric car manufacturer Tesla released its sales figures for the year's 4th quarter and last year over...","regional, milwaukee, wisconsin",Chris Isidore,Yes,Real
Are Elon Musk's politics costing Tesla sales?,"https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/images/gettyimages-2185095309-67b36a2ad179d.jpg?crop=1.00xw:0.847xh;0,0.153xh&resize=1200:*",2025-02-17 17:03:00+00:00,"Elon Musk is riding high politically, but his marquee company isn't doing as well. On Thursday, electric car manufacturer Tesla released its sales figures for the year's 4th quarter and last year over...","regional, baltimore, maryland",Chris Isidore,Unknown,Unknown
"Anti-Tesla Protests, Sell-Offs Mount As Musk Raids The U.S. Government",https://cdn.motor1.com/images/mgl/Qev1m7/s1/shryl-crow.jpg,2025-02-17 16:00:00+00:00,"It’s time to acknowledge the elephant in the room here: Elon Musk’s meddling in global politics, far-right activism and wanton slash-and-burn of U.S government departments and programs via the so-called Department of Government Efficiency are increasingly inseparable from the average person’s percep...","auto, ev",Kevin Williams,No,Fake
Cross Purposes by Jonathan Rauch review – crises for Christianity and democracy,https://i.guim.co.uk/img/media/4b4e203c3321b92e19510943e81642a29d6dfcc5/0_187_5616_3370/master/5616.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=c931082791075f74c585356b6de05c2b,2025-02-17 14:28:43+00:00,"The Atlantic contributor frets about religion, politics and America – and the questions he poses are existential",regional,Lloyd Green,Yes,Real
"Elon Musk’s efficiency department pushes to access taxpayer data from IRS, says report - US politics live",https://i.guim.co.uk/img/media/0f29dfb6d3121364fb2db38a63f164edc8f3ae26/523_1178_7210_4326/master/7210.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctbGl2ZS5wbmc&s=cd0f550b06ab9a4a8e52162dfdaed8a5,2025-02-17 13:19:39+00:00,"Staff at the Federal Aviation Administration receive emails saying they have been fired, upending rotas during period of busy air travel",world,Jane Clinton,No,Real
The Risks of Underestimating Competition from China,/resources/images/article_assets/2025/02/Feb25_15_L0tMFYOdBM_-hxUcl0nUsIY_-TZ4vpPY5VTQ_-JrUB91JQCb4_-mnyJEvSLtvk.jpg,2025-02-17 13:05:19+00:00,"Global executives in far too many industries are waiting to see Chinese products in their own markets before they take them seriously. But tariffs, geopolitics, and China’s evolving approach to global expansion mean that any company with a “wait and see” strategy will often be the last to recognize ...","business, entrepreneur",@harvardbiz,Unknown,Unknown
"Zachary Levi calls out corruption in politics, demands we hold leaders accountable",https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/02/1024/512/zachary-levi.jpg?ve=1&tl=1,2025-02-17 13:00:59+00:00,"""The Unbreakable Boy"" star Zachary Levi tells Fox News Digital that ""integrity"" makes a good leader, but the system is bogged down by ""corruption.""",general,Fox News,Yes,Real
There is much to be afraid of': Carl Lumbly on the fraught politics of 'Captain America',https://ca-times.brightspotcdn.com/dims4/default/f789037/2147483647/strip/true/crop/5000x2813+0+260/resize/1200x675!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fef%2F24%2F9153ee8b4d7cb7ac18f2f81037cc%2Fre-0029-svluihgw.jpeg,2025-02-17 11:00:39+00:00,"The veteran actor, who became TV's first Black superhero 30 years ago in 'M.A.N.T.I.S.,' discusses the hope he draws from the latest entry in the Marvel Cinematic Universe.",movie,@gebraxton,Unknown,Unknown
Analysis: Trump vowed to take politics out of prosecutions. The Eric Adams case tells a different story,https://ca-times.brightspotcdn.com/dims4/default/fa09ebe/2147483647/strip/true/crop/5615x3158+0+292/resize/1200x675!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fb8%2F9a%2Ff6e6c20a3d8082030bf84a782d87%2Fafca7ea0ee2a4be1a9b734c3c55e781d,2025-02-17 11:00:04+00:00,The handling of the Eric Adams case has put a spotlight on how the Trump administration could further politicize the Justice Department.,politics,@DavidGSavage,Yes,Real
Can Starmer save Ukraine?,https://e3.365dm.com/24/10/1600x900/skynews-pjas-politics-at-jack-and-sams_6709400.png?20250127102956,2025-02-17 07:00:00+00:00,"👉Listen to Politics At Jack And Sam's on your podcast app👈

Sky News' deputy political editor Sam Coates and Politico's Anne McElvoy look at the day ahead in British politics.

Although it's recess, S...","politics, world",Sky Uk Limited,No,Real
Politics And The Markets 02/17/25,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,2025-02-17 05:00:00+00:00,This is the forum for daily political discussion on Seeking Alpha. A new version is published every market day. Please don't leave political comments on other articles or posts on the site,"business, finance",Political Comments,Unknown,Unknown
"Wild Card talks to comedian Ronny Chieng, who 'Loves To Hate It'",https://media.npr.org/include/images/facebook-default-wide-s1400-c100.jpg,2025-02-16 22:18:59+00:00,"ANDREW LIMBONG, HOST: Comedian Ronny Chieng says he doesn't think about whether a topic is taboo when he's writing his material. The ""Daily Show"" correspondent has a new stand-up special out now where he talks about politics, race and death. It's called ""Ronny Chieng: Love To Hate It."" He chatted wi...","art, lifestyle",Rachel Martin,Unknown,Unknown
"Singer Sheryl Crow Ditches Tesla Over Elon Musk's Political Stance, Supports NPR - Tesla (NASDAQ:TSLA)",https://cdn.benzinga.com/files/images/story/2025/02/16/Del-Mar--California-Usa---09-15-2019-She.jpeg?width=1200&height=800&fit=crop,2025-02-16 18:45:16+00:00,"Rock star Sheryl Crow is parting ways with her Tesla vehicle, expressing her disapproval of CEO Elon Musk's politics.","finance, trading",Bibhu Pattnaik,No,Real
Federal appeals court queues up first test of Trump’s power for Supreme Court | CNN Politics,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2199126048.jpg?c=16x9&q=w_800,c_fill",2025-02-16 13:43:05+00:00,President Donald Trump will ask the Supreme Court to allow him to fire the head of a government ethics watchdog agency in the first appeal from his litigious second term to reach the nation’s highest court.,legal,John Fritze,Unknown,Unknown
"Politics chat: State governors push back, Vance makes first international appearance",https://media.npr.org/include/images/facebook-default-wide-s1400-c100.jpg,2025-02-16 13:07:21+00:00,"As the Trump administration pushes the boundaries of executive authority, some state governors are pushing back.","politics, world",Ayesha Rascoe,No,Real
Those Passions by TJ Clark review – a timely study of the connection between art and politics,https://i.guim.co.uk/img/media/51c5ffb7da3a2a332006e633ca737a171d4b7852/28_428_3487_2093/master/3487.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&s=02ee6b3cf64230b33f1b055731ba9872,2025-02-16 13:00:06+00:00,The British art historian’s essays demonstrate a wide erudition but suffer from his relentless scrutinising,"art, design, lifestyle",Stephen Smith,Unknown,Unknown
Trump administration blasts ‘unprecedented assault’ on its power in first Supreme Court appeal | CNN Politics,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2199126048.jpg?c=16x9&q=w_800,c_fill",2025-02-16 11:09:49+00:00,President Donald Trump will ask the Supreme Court to allow him to fire the head of a government ethics watchdog agency in the first appeal from his litigious second term to reach the nation’s highest court.,legal,John Fritze,Yes,Real
Dan Osborn is looking for 'working-class heroes' to shake up U.S. politics,https://ca-times.brightspotcdn.com/dims4/default/fc6a913/2147483647/strip/true/crop/8192x4608+0+428/resize/1200x675!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F4e%2F27%2F554803114707918c16e55a740782%2F1490731-la-na-omaha-nebraska-rg-011.JPG,2025-02-16 11:02:10+00:00,"A mechanic and a political outsider, Dan Osborn ran as an independent and almost won a U.S. Senate seat last year. He's started a Working Class Heroes Fund to get other blue-collar workers to run for office.","regional, omaha, nebraska",@jeffreyLAT,Yes,Real
Winner and Loser of the Week in Florida politics — Week of 2.9.25,https://floridapolitics.com/wp-content/uploads/2019/12/winners-and-losers3.jpg,2025-02-16 10:30:04+00:00,An immigration deal and a Supreme Court ruling brought plenty of drama and signs that Ron DeSantis isn't the juggernaut he once was.,legal,Ryan Nicol,Yes,Real
On Politics: Trump takes page out of Nixon’s playbook with targeted attack of unfriendly media outlets | Honolulu Star-Advertiser,https://www.staradvertiser.com/wp-content/uploads/2025/02/web1_2025-02-04T002318Z_2_LYNXMPEL120T5_RTROPTP_3_USA-CRASH-WASHINGTONDC.jpg,2025-02-16 10:05:00+00:00,"In what has been described as a “multi-pronged attack,” President Donald Trump is intensifying his criticism of the news media.",regional,Richard Borreca,No,Real
"‘Once you realise life is finite, you can’t procrastinate’: Mark Steel on the ups and downs of surviving cancer",https://i.guim.co.uk/img/media/1835a36251379d515fb38b7628c024d0a042ae44/0_2585_4912_2947/master/4912.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&s=f6d2e0be854df7b86493af188d4764e0,2025-02-16 07:00:04+00:00,"The comedian tells Tim Jonze about politics, podcasts, family life’s ups and downs and surviving throat cancer. Plus, a remarkable extract from his new memoir",world,Tim Jonze,Yes,Real
"European leaders, media stunned by JD Vance's speech",https://assets3.cbsnewsstatic.com/hub/i/r/2025/02/16/0010225e-4e92-485f-bd57-8cdb5aa7d3cb/thumbnail/1200x630/4a461e81b12513ed70c45b07d4e91682/palmer.jpg?v=f303dc12868a012283443d8b9123e5fe,2025-02-16 02:05:00+00:00,Vice President JD Vance stunned European leaders in Munich this week with a speech in which he painted a picture of European politics infected by media censorship and political correctness. Elizabeth Palmer has more.,"politics, world",CBS News,Yes,Real
Maduro Submits Constitution Reform to Reshape Venezuela Politics,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iD.Pbll93w4c/v1/1200x799.jpg,2025-02-16 01:40:39+00:00,Venezuela’s Nicolás Maduro proposed reforming the constitution in what he called a push to reshape territorial divisions and diversify the economy.,politics,Bloomberg News,Yes,Real
