title,image,published,description,category,author,image_relation,fake_news_label,image_location
"What’s my horoscope today? Pisces, help out family with finances (02/16/25)",https://www.mlive.com/resizer/v2/SAGJVB5QCZCNFBN2U2NE2O4GTE.png?auth=c0f524b9dcf3ae13e784b4cce0a0efa41ba99b79ecc98cc4246df8f930914114&width=1280&quality=90,2025-02-16 05:01:00+00:00,"See Zodiac signs and horoscopes on 02/16/25 for today’s birthday and Aquarius, Pisces, Aries, Taurus, Gemini, Cancer, Leo, Virgo, Libra, Scorpio, Sagittarius, Capricorn.","regional, grand-rapids, michigan",Nancy Black |,Yes,Real,Images\image_31.png
Ivanka Trump admits making parents proud should NOT matter,https://i.dailymail.co.uk/1s/2025/02/17/18/95302901-0-image-m-16_1739815373792.jpg,2025-02-17 19:06:41+00:00,"The mom-of-three made the decision to quit a career in politics in November 2022

Ivanka, 43, took to Instagram and shared a post about 'your parents' pride'

Ivanka Trump has hinted at her relationsh...",national,Kirsty Mccormack,Yes,Real,Images\image_34.jpg
2:00PM Water Cooler 2/17/2025 | naked capitalism,https://www.nakedcapitalism.com/wp-content/uploads/2025/02/mullen_normal.png,2025-02-17 19:00:11+00:00,"~ Today's Water Cooler: Politics, Syndemics; Humphrey's Executor on the chopping block; Elon's (putative) baby momma; Velvet ropes and the American drea",economy,Lambert Strether,No,Fake,Images\image_35.png
Trump’s Napoleon Quote Baits the Left Into Yet Another Meltdown,https://media.breitbart.com/media/2025/02/GettyImages-587490446-e1739813061163.jpg,2025-02-17 17:38:16+00:00,"“He who saves his Country does not violate any law,” Trump posted over the weekend. | Politics",politics,John Carney,Yes,Real,Images\image_37.jpg
"Watching 'Shoah' in Berlin, 80 Years After Auschwitz",https://static01.nyt.com/images/2025/02/17/arts/17shoah-02/17shoah-02-facebookJumbo.png,2025-02-17 17:36:09+00:00,"Some commentators, including film critics and politicians, have expressed fears that politics will eclipse the movies themselves. Would scrubbing the Berlinale of political commitments altogether allo...",general,Beatrice Loayza,Yes,Real,Images\image_38.png
Are Elon Musk's politics costing Tesla sales?,"https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/images/gettyimages-2185095309-67b36a2ad179d.jpg?crop=1.00xw:0.847xh;0,0.153xh&resize=1200:*",2025-02-17 17:03:00+00:00,"Elon Musk is riding high politically, but his marquee company isn't doing as well. On Thursday, electric car manufacturer Tesla released its sales figures for the year's 4th quarter and last year over...","regional, jackson, mississippi",Chris Isidore,Yes,Real,Images\image_39.jpg
Are Elon Musk's politics costing Tesla sales?,"https://kubrick.htvapps.com/htv-prod-media.s3.amazonaws.com/images/gettyimages-2185095309-67b36a2ad179d.jpg?crop=1.00xw:0.847xh;0,0.153xh&resize=1200:*",2025-02-17 17:03:00+00:00,"Elon Musk is riding high politically, but his marquee company isn't doing as well. On Thursday, electric car manufacturer Tesla released its sales figures for the year's 4th quarter and last year over...","regional, milwaukee, wisconsin",Chris Isidore,Yes,Real,Images\image_40.jpg
"Anti-Tesla Protests, Sell-Offs Mount As Musk Raids The U.S. Government",https://cdn.motor1.com/images/mgl/Qev1m7/s1/shryl-crow.jpg,2025-02-17 16:00:00+00:00,"It’s time to acknowledge the elephant in the room here: Elon Musk’s meddling in global politics, far-right activism and wanton slash-and-burn of U.S government departments and programs via the so-called Department of Government Efficiency are increasingly inseparable from the average person’s percep...","auto, ev",Kevin Williams,No,Fake,Images\image_42.jpg
Cross Purposes by Jonathan Rauch review – crises for Christianity and democracy,https://i.guim.co.uk/img/media/4b4e203c3321b92e19510943e81642a29d6dfcc5/0_187_5616_3370/master/5616.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=c931082791075f74c585356b6de05c2b,2025-02-17 14:28:43+00:00,"The Atlantic contributor frets about religion, politics and America – and the questions he poses are existential",regional,Lloyd Green,Yes,Real,Images\image_43.jpg
"Elon Musk’s efficiency department pushes to access taxpayer data from IRS, says report - US politics live",https://i.guim.co.uk/img/media/0f29dfb6d3121364fb2db38a63f164edc8f3ae26/523_1178_7210_4326/master/7210.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctbGl2ZS5wbmc&s=cd0f550b06ab9a4a8e52162dfdaed8a5,2025-02-17 13:19:39+00:00,"Staff at the Federal Aviation Administration receive emails saying they have been fired, upending rotas during period of busy air travel",world,Jane Clinton,No,Real,Images\image_44.jpg
"Zachary Levi calls out corruption in politics, demands we hold leaders accountable",https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/02/1024/512/zachary-levi.jpg?ve=1&tl=1,2025-02-17 13:00:59+00:00,"""The Unbreakable Boy"" star Zachary Levi tells Fox News Digital that ""integrity"" makes a good leader, but the system is bogged down by ""corruption.""",general,Fox News,Yes,Real,Images\image_46.jpg
Analysis: Trump vowed to take politics out of prosecutions. The Eric Adams case tells a different story,https://ca-times.brightspotcdn.com/dims4/default/fa09ebe/2147483647/strip/true/crop/5615x3158+0+292/resize/1200x675!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fb8%2F9a%2Ff6e6c20a3d8082030bf84a782d87%2Fafca7ea0ee2a4be1a9b734c3c55e781d,2025-02-17 11:00:04+00:00,The handling of the Eric Adams case has put a spotlight on how the Trump administration could further politicize the Justice Department.,politics,@DavidGSavage,Yes,Real,Images\image_48.jpg
Can Starmer save Ukraine?,https://e3.365dm.com/24/10/1600x900/skynews-pjas-politics-at-jack-and-sams_6709400.png?20250127102956,2025-02-17 07:00:00+00:00,"👉Listen to Politics At Jack And Sam's on your podcast app👈

Sky News' deputy political editor Sam Coates and Politico's Anne McElvoy look at the day ahead in British politics.

Although it's recess, S...","politics, world",Sky Uk Limited,No,Real,Images\image_49.png
"Singer Sheryl Crow Ditches Tesla Over Elon Musk's Political Stance, Supports NPR - Tesla (NASDAQ:TSLA)",https://cdn.benzinga.com/files/images/story/2025/02/16/Del-Mar--California-Usa---09-15-2019-She.jpeg?width=1200&height=800&fit=crop,2025-02-16 18:45:16+00:00,"Rock star Sheryl Crow is parting ways with her Tesla vehicle, expressing her disapproval of CEO Elon Musk's politics.","finance, trading",Bibhu Pattnaik,No,Real,Images\image_52.jpeg
"Politics chat: State governors push back, Vance makes first international appearance",https://media.npr.org/include/images/facebook-default-wide-s1400-c100.jpg,2025-02-16 13:07:21+00:00,"As the Trump administration pushes the boundaries of executive authority, some state governors are pushing back.","politics, world",Ayesha Rascoe,No,Real,Images\image_54.jpg
Trump administration blasts ‘unprecedented assault’ on its power in first Supreme Court appeal | CNN Politics,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2199126048.jpg?c=16x9&q=w_800,c_fill",2025-02-16 11:09:49+00:00,President Donald Trump will ask the Supreme Court to allow him to fire the head of a government ethics watchdog agency in the first appeal from his litigious second term to reach the nation’s highest court.,legal,John Fritze,Yes,Real,Images\image_56.jpg
Dan Osborn is looking for 'working-class heroes' to shake up U.S. politics,https://ca-times.brightspotcdn.com/dims4/default/fc6a913/2147483647/strip/true/crop/8192x4608+0+428/resize/1200x675!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F4e%2F27%2F554803114707918c16e55a740782%2F1490731-la-na-omaha-nebraska-rg-011.JPG,2025-02-16 11:02:10+00:00,"A mechanic and a political outsider, Dan Osborn ran as an independent and almost won a U.S. Senate seat last year. He's started a Working Class Heroes Fund to get other blue-collar workers to run for office.","regional, omaha, nebraska",@jeffreyLAT,Yes,Real,Images\image_57.jpg
Winner and Loser of the Week in Florida politics — Week of 2.9.25,https://floridapolitics.com/wp-content/uploads/2019/12/winners-and-losers3.jpg,2025-02-16 10:30:04+00:00,An immigration deal and a Supreme Court ruling brought plenty of drama and signs that Ron DeSantis isn't the juggernaut he once was.,legal,Ryan Nicol,Yes,Real,Images\image_58.jpg
On Politics: Trump takes page out of Nixon’s playbook with targeted attack of unfriendly media outlets | Honolulu Star-Advertiser,https://www.staradvertiser.com/wp-content/uploads/2025/02/web1_2025-02-04T002318Z_2_LYNXMPEL120T5_RTROPTP_3_USA-CRASH-WASHINGTONDC.jpg,2025-02-16 10:05:00+00:00,"In what has been described as a “multi-pronged attack,” President Donald Trump is intensifying his criticism of the news media.",regional,Richard Borreca,No,Real,
"‘Once you realise life is finite, you can’t procrastinate’: Mark Steel on the ups and downs of surviving cancer",https://i.guim.co.uk/img/media/1835a36251379d515fb38b7628c024d0a042ae44/0_2585_4912_2947/master/4912.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&s=f6d2e0be854df7b86493af188d4764e0,2025-02-16 07:00:04+00:00,"The comedian tells Tim Jonze about politics, podcasts, family life’s ups and downs and surviving throat cancer. Plus, a remarkable extract from his new memoir",world,Tim Jonze,Yes,Real,Images\image_60.jpg
"European leaders, media stunned by JD Vance's speech",https://assets3.cbsnewsstatic.com/hub/i/r/2025/02/16/0010225e-4e92-485f-bd57-8cdb5aa7d3cb/thumbnail/1200x630/4a461e81b12513ed70c45b07d4e91682/palmer.jpg?v=f303dc12868a012283443d8b9123e5fe,2025-02-16 02:05:00+00:00,Vice President JD Vance stunned European leaders in Munich this week with a speech in which he painted a picture of European politics infected by media censorship and political correctness. Elizabeth Palmer has more.,"politics, world",CBS News,Yes,Real,Images\image_61.jpg
Maduro Submits Constitution Reform to Reshape Venezuela Politics,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iD.Pbll93w4c/v1/1200x799.jpg,2025-02-16 01:40:39+00:00,Venezuela’s Nicolás Maduro proposed reforming the constitution in what he called a push to reshape territorial divisions and diversify the economy.,politics,Bloomberg News,Yes,Real,Images\image_62.jpg
"MBX Biosciences, Inc. (NYSE:MBX) Director Carl L. Gordon Purchases 143,170 Shares",https://www.marketbeat.com/logos/mbx-biosciences-inc-logo-1200x675.png?v=20240926142206,2025-02-21 01:19:01+00:00,"MBX Biosciences, Inc. (NYSE:MBX - Get Free Report) Director Carl L. Gordon acquired 143,170 shares of the business's stock in a transaction on Tuesday, February 18th. The stock was acquired at an average cost of $10.84 per share, for a total transaction of $1,551,962.80. Following the transaction, t...",finance,MarketBeat,Yes,Real,Images\image_64.png
Simple treatment may reduce inflammation and its side effects in expecting cows,https://scx2.b-cdn.net/gfx/news/hires/2025/heifer.jpg,2025-02-20 22:21:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...",science,Katie Bohn,Yes,Real,Images\image_71.jpg
Struggling men may hurt noncollege women's marriage prospects,https://scx2.b-cdn.net/gfx/news/hires/2024/wedding-rings.jpg,2025-02-20 22:20:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...",science,James Dean,Yes,Real,Images\image_72.jpg
Deaths of despair' more than double in the US over two decades,https://scx2.b-cdn.net/gfx/news/hires/2025/despair.jpg,2025-02-20 22:13:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Keira Burt...","medical, science",Gisele Galoustian,Yes,Real,Images\image_73.jpg
Fog-to-Cloud computing framework: Researchers advance secure remote health monitoring for elderly care,https://scx2.b-cdn.net/gfx/news/hires/2024/cloud-computing.jpg,2025-02-20 22:12:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...","medical, science",David Bradley,Yes,Real,Images\image_74.jpg
More people are playing roller derby. Here's what that might mean for foot health,https://scx2.b-cdn.net/gfx/news/hires/2025/roller-derby.jpg,2025-02-20 22:11:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...","medical, science",Benjamin Bullen,Yes,Real,Images\image_76.jpg
Study reveals split opinions on long-term opioid use for chronic pain,https://scx2.b-cdn.net/gfx/news/hires/2025/pain.jpg,2025-02-20 22:10:06+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Unsplash/C...","medical, science",Regenstrief Institute,No,Real,Images\image_77.jpg
"Alzheimer's disease, dementias chronically undiagnosed yet early detection rarely used",https://scx2.b-cdn.net/gfx/news/2025/alzheimers-disease-dem.jpg,2025-02-20 22:09:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Older US adults’ l...","medical, science",Kim North Shine,Yes,Real,Images\image_78.jpg
"Elephant seals, fog harvesting and the brain science behind sugar cravings",https://media.npr.org/include/images/facebook-default-wide-s1400-c100.jpg,2025-02-20 22:08:13+00:00,"This week's Short Wave news roundup covers harvesting drinking water from fog, what elephant seals reveal about fish populations in the deep ocean, and why there's always room for dessert.",science,Emily Kwong,No,Real,Images\image_79.jpg
Q&A: Researcher discusses exploring the limits of carbon sequestration,https://scx2.b-cdn.net/gfx/news/2025/exploring-the-limits-o.jpg,2025-02-20 22:06:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Rincon de la Vieja...",science,Stephanie Martinovich,Yes,Real,Images\image_80.jpg
How mosquitoes hear may inspire new ways to detect natural disasters,https://scx2.b-cdn.net/gfx/news/hires/2025/how-mosquitos-hear-may-1.jpg,2025-02-20 22:03:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

This CT scan is a ...",science,Purdue University,Yes,Real,Images\image_82.jpg
Plasma arc cutting: Scientists decode gas flow dynamics,https://scx2.b-cdn.net/gfx/news/hires/2025/plasma-arc-cutting-pnu.jpg,2025-02-20 22:01:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

The curvature lead...",science,Pusan National University,Yes,Real,Images\image_83.jpg
"Exercise can restore STAT3 levels in the amygdala, preventing stress-induced high blood pressure",https://scx2.b-cdn.net/gfx/news/hires/2025/exercise-your-way-to-l.jpg,2025-02-20 22:00:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Exercise reduces s...","medical, science",Juntendo University Research Promotion Center,Yes,Real,Images\image_84.jpg
"Influencer marketing can help tourism industry mitigate waste, pollution",https://scx2.b-cdn.net/gfx/news/hires/2025/environmental-influenc.jpg,2025-02-20 21:58:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...",science,Pennsylvania State University,Yes,Real,Images\image_85.jpg
New dads reveal conflict and guilt in the transition to parenthood,https://scx2.b-cdn.net/gfx/news/hires/2024/new-dad.jpg,2025-02-20 21:57:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...",science,Pauline Braniff,Yes,Real,Images\image_86.jpg
Trump's siege of science: how the first 30 days unfolded and what's next,https://media.nature.com/lw1200/magazine-assets/d41586-025-00525-1/d41586-025-00525-1_50663222.jpg,2025-02-20 21:53:47+00:00,"Donald Trump took office as US president for the second time one month ago.Credit: Joe Raedle/Getty

In the wake of the Second World War, US leaders adopted the view that scientific progress is an “es...",academia,Tollefson,Yes,Real,Images\image_89.jpg
How do people feel about AI replacing human jobs?,https://scx2.b-cdn.net/gfx/news/hires/2024/robot-boss.jpg,2025-02-20 21:36:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Tara Winst...",science,Nicole Siller,Yes,Real,Images\image_92.jpg
New York seeks hundreds of millions of dollars in 'vaping epidemic' case,https://scx2.b-cdn.net/gfx/news/hires/2024/vape.jpg,2025-02-20 21:01:08+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Unsplash/C...","medical, science",medicalxpress,Yes,Real,Images\image_99.jpg
Japan study finds no link between housing damage and mortality post-earthquake,https://scx2.b-cdn.net/gfx/news/2025/team-compares-degree-o.jpg,2025-02-20 20:57:05+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Kaplan-Meier curve...","medical, science",Tohoku University,Yes,Real,Images\image_104.jpg
"A 'local electricity market': Rooftop panels, EV chargers, and smart thermostats could boost power grid resilience",https://scx2.b-cdn.net/gfx/news/2025/rooftop-panels-ev-char.jpg,2025-02-20 20:31:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

An example of the ...",science,Jennifer Chu,Yes,Real,Images\image_105.jpg
"Digital-learning platform improves reading growth by 9 percentile points, bridging learning gaps",https://scx2.b-cdn.net/gfx/news/hires/2025/digital-learning-platf.jpg,2025-02-20 20:14:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

King Robinson, a t...",science,University Of Michigan,Yes,Real,Images\image_106.jpg
Hybrid transparent electrodes enhance efficiency and longevity of perovskite solar cells,https://scx2.b-cdn.net/gfx/news/2025/hybrid-transparent-ele-1.jpg,2025-02-20 20:08:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

A three-layer tran...",science,techxplore,Yes,Real,Images\image_107.jpg
Silicon nitride-based electromagnetic metamaterial with industrial potential developed,https://scx2.b-cdn.net/gfx/news/2025/new-silicon-nitride-ba.jpg,2025-02-20 19:34:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Graphical Abstract...",science,Tsinghua University Press,Yes,Real,Images\image_109.jpg
Exploring BiFeO₃'s piezocatalytic potential: From materials engineering to diverse applications,https://scx2.b-cdn.net/gfx/news/hires/2025/versatile-bifeo3-shini.jpg,2025-02-20 19:33:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

This review provid...",science,Tsinghua University Press,Yes,Real,Images\image_110.jpg
A new approach for better understanding animal consciousness,https://scx2.b-cdn.net/gfx/news/hires/2020/animal.jpg,2025-02-20 19:00:10+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: CC0 Public...",science,New York University,Yes,Real,Images\image_112.jpg
