title,image,published,description,category,author,image_relation,fake_news_label
"India, Qatar Elevate Ties To 'Strategic Partnership' As Emir Meets PM Modi",https://c.ndtvimg.com/2025-02/t12tgff4_pm-modi-emir-of-qatar-sheikh-tamim-bin-hamad-al-thani-pti_625x300_18_February_25.jpeg,2025-02-18 12:47:47 +0000,Qatar and India have agreed today to elevate their ties to a strategic partnership and an agreement in this regard was exchanged between the two nations. The decision was announced after a meeting between Prime Minister Narendra Modi and the Emir of Qatar Sheikh Tamim Bin Hamad Al-Thani in New Delhi...,['world'],ndtv,Unknown,Unknown
Carnival Corporation & plc Announces the Redemption of Existing $1.0 Billion 10.500% Senior Unsecured Notes due 2030 and Launch of New Senior Unsecured Notes Offering for Interest Expense Reduction,,2025-02-18 12:30:00 +0000,"MIAMI, Feb. 18, 2025 /PRNewswire/ -- Carnival Corporation & plc ((NYSE/LSE: CCL, NYSE:CUK) today announced that Carnival Corporation (the ""Company"") commenced a private offering (the ""Notes Offering"") of new senior unsecured notes in an aggregate principal amount of $1.0 billion, expected to mature ...",['finance'],PRNewswire,Unknown,Unknown
"Mortgage and refinance rates today, February 18, 2024: 30-year rate down 15 basis points this year",https://s.yimg.com/ny/api/res/1.2/Y2tfJtD0oUt6xTTdKawkhA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2024-04/700e25a0-fb43-11ee-be6b-a40c5cf2631a,2025-02-18 11:00:07 +0000,These are today's mortgage and refinance rates. Interest rates have decreased since the beginning of 2025. Lock in your rate today.,['general'],Laura Grace Tarpley,No,Real
"Alpha Liquid Terminal signs strategic partnership with GoSATS, the fastest growing Bitcoin-rebate card in India",https://ml.globenewswire.com/Resource/Download/7c5f5bd2-213f-4c9c-9215-1381c4d4daea,2025-02-18 10:00:00 +0000,"Tampa, FL and Singapore, Feb. 18, 2025 (GLOBE NEWSWIRE) -- Alpha Liquid Terminal (altx.finance) is excited to announce a strategic partnership with GoSats (gosats.io), one of the largest crypto onboar...",['company'],Alpha Liquid Terminal,Yes,Real
Johnson & Johnson: Rich History Of Excellence Poised To Endure (NYSE:JNJ),https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1225119943/image_1225119943.jpg?io=getty-c-w1536,2025-02-18 07:16:53 +0000,"I am a highly experienced Chief Financial Officer (CFO) with a strong background in the oilfield and real estate industries. With over a decade of experience in finance, I have led numerous complex du...","['business', 'finance']",Dair Sansyzbayev,Unknown,Unknown
Propagation of chaos and Razumikhin theorem for the nonlinear McKean-Vlasov SFDEs with common noise,,2025-02-18 05:00:00 +0000,"arXiv:2502.10782v1 Announce Type: new 
Abstract: As the limit equations of mean-field particle systems perturbed by common environmental noise, the McKean-Vlasov stochastic differential equations with common noise have received a lot of attention. Moreover, past dependence is an unavoidable natural ...","['academic', 'MATH']",rss-help,No,Real
Stochastic volatility model with long memory for water quantity-quality dynamics,,2025-02-18 05:00:00 +0000,"arXiv:2501.03725v3 Announce Type: replace 
Abstract: Water quantity and quality are vital indices for assessing fluvial environments. These indices are highly variable over time and include sub-exponential memory, where the influences of past events persist over long durations. Moreover, water quant...","['academic', 'MATH']",rss-help,No,Real
"Hallucinations and Truth: A Comprehensive Accuracy Evaluation of RAG, LoRA and DoRA",,2025-02-18 05:00:00 +0000,"arXiv:2502.10497v1 Announce Type: new 
Abstract: Recent advancements in Generative AI have significantly improved the efficiency and adaptability of natural language processing (NLP) systems, particularly through Retrieval-Augmented Generation (RAG), Low-Rank Adaptation (LoRA), and Weight-Decomposed...","['academic', 'CS']",rss-help,Unknown,Unknown
HADL Framework for Noise Resilient Long-Term Time Series Forecasting,,2025-02-18 05:00:00 +0000,"arXiv:2502.10569v1 Announce Type: new 
Abstract: Long-term time series forecasting is critical in domains such as finance, economics, and energy, where accurate and reliable predictions over extended horizons drive strategic decision-making. Despite the progress in machine learning-based models, the...","['academic', 'CS']",rss-help,Unknown,Unknown
FinMTEB: Finance Massive Text Embedding Benchmark,,2025-02-18 05:00:00 +0000,"arXiv:2502.10990v1 Announce Type: new 
Abstract: Embedding models play a crucial role in representing and retrieving information across various NLP applications. Recent advances in large language models (LLMs) have further enhanced the performance of embedding models. While these models are often be...","['academic', 'CS']",rss-help,Unknown,Unknown
Primus: A Pioneering Collection of Open-Source Datasets for Cybersecurity LLM Training,,2025-02-18 05:00:00 +0000,"arXiv:2502.11191v1 Announce Type: new 
Abstract: Large Language Models (LLMs) have shown remarkable advancements in specialized fields such as finance, law, and medicine. However, in cybersecurity, we have noticed a lack of open-source datasets, with a particular lack of high-quality cybersecurity p...","['academic', 'CS']",rss-help,Unknown,Unknown
DeFiScope: Detecting Various DeFi Price Manipulations with LLM Reasoning,,2025-02-18 05:00:00 +0000,"arXiv:2502.11521v1 Announce Type: new 
Abstract: DeFi (Decentralized Finance) is one of the most important applications of today's cryptocurrencies and smart contracts. It manages hundreds of billions in Total Value Locked (TVL) on-chain, yet it remains susceptible to common DeFi price manipulation ...","['academic', 'CS']",rss-help,Unknown,Unknown
Thriving as a Personal Tech Consultant: Navigating the AI Revolution,,2025-02-18 04:49:43 +0000,"Disclaimer: this is a report generated with my tool: https://github.com/DTeam-Top/tsw-cli. See it as an experiment not a formal research, 😄。

 
 
 Summary

This report outlines key strategies for building a successful personal tech consulting business in the rapidly evolving AI landscape. It emphasi...",['programming'],foxgem,Unknown,Unknown
Youth programs in Durham seek funding amid rise in violence,,2025-02-18 03:29:22 +0000,"DURHAM, N.C. (WNCN) — As Durham continues grappling with youth violence, leaders of multiple youth programs gathered outside of City Hall ahead of Monday's City Council meeting to ask for funding.
Among the leaders was Destiny Alexander, the founding executive director of the POOF Teen Center, which...","['regional', 'north-carolina', 'durham']",Harrison Grubb,Unknown,Unknown
"Summer Intern - Fort Lee, New Jersey, United States",https://d8yy0r0qfxgnb.cloudfront.net/public/uploads/b99fcfbc8006a035e2a1670a84159390/images/files/cc3223f816659575c36dff14cbfcc02e/original/WTW_Logo.jpg?1732548717,2025-02-18 00:25:17 +0000,"Description
We are looking for several rising college Seniors who have a strong interest in a career at TRANZACT.  Candidates must have strong analytic abilities, an extraordinary work ethic, excellent communication skills and a desire to be part of a dynamic and fun organization.The Intern will hav...","['regional', 'new-jersey']",,Unknown,Unknown
"Tony Robbins warns Americans on Roth IRA, 401(k) obvious problem",,2025-02-18 00:03:00 +0000,The fact that people are living longer than they used to has prompted many U.S. workers to change how they think about saving and investing for their retirement years.Personal finance author and philanthropist Tony Robbins recognizes this shift in reality and suggests a key retirement strategy regar...,"['finance', 'market']",Jeffrey Quiggle,No,Real
Care or Chaos? Inside the Portsmouth teen center at the heart of abuse allegations,,2025-02-17 23:38:10 +0000,"PORTSMOUTH, Va. (WAVY) - When Alyssa Hertle, 15, of Fayetteville, North Carolina, entered Harbor Point Behavioral Health Center last August, neither she nor her mother, Rachelle, knew it had been cited in a congressional investigation for abuse.
Alyssa had experimented with drugs, but her primary di...","['regional', 'portsmouth', 'virginia']",Chris Horne,Unknown,Unknown
Profiles in Courage': Four NYC Deputy Mayors to Resign Over Eric Adams' Quid Pro Quo With Trump,,2025-02-17 22:18:40 +0000,"As news broke Monday that four of New York City Mayor Eric Adams' top deputies plan to resign over the alleged deal Adams made with the Trump administration in order to get his corruption case dismissed, calls mounted for the mayor to end the chaos by stepping down.First Deputy Mayor Maria Torres-Sp...",['general'],Julia Conley,Unknown,Unknown
Senate Democrats Say DOGE Has 'No Right to Hoover up Taxpayer Data' at IRS,,2025-02-17 20:48:55 +0000,"As Americans prepare to file their taxes ahead of the April 15 deadline, two Democratic senators warned Monday that billionaire tech mogul Elon Musk's arrival at the Internal Revenue Service raises serious privacy concerns and could significantly impact the tens of millions of people who count on th...",['general'],Julia Conley,Unknown,Unknown
Pete Hegseth accuses Biden IRS of rushing through last-minute audit of him,,2025-02-17 20:38:47 +0000,"Secretary of Defense Pete Hegseth said the Biden administration IRS ""rushed"" an audit of his and his wife's finances after he was nominated for the role.
Hegseth, 44, made the accusation Monday afternoon on X. Few details were immediately available, but he posted a photo of what appeared to show the...",['politics'],Zach Halaschak,No,Fake
"Israel Plans 1,000 New Settlement Homes as West Bank Raids Intensify",,2025-02-17 18:42:12 +0000,"Israeli authorities are planning to expand a Jewish-only settlement in the West Bank by nearly 1,000 homes, a Tel Aviv-based peace group said Sunday as Israeli soldiers and settlers escalated attacks on Palestinians in the illegally occupied territory.

	Peace Now said Israel's Civil Administration ...",['general'],Brett Wilkins,No,Real
Kenya's HIV patients victims of U.S. aid freeze,,2025-02-17 18:41:45 +0000,"by Fren Ooko with Julie Capelle in NairobiDays after US President Donald Trump froze overseas aid funding, Hellen Anyango anxiously counted her boxes of AIDS treatment drugs, unsure what would happen when they ran out.At the beginning of February, she had only three boxes of the anti-retroviral (ARV...","['politics', 'world']",Agence France-Presse,No,Real
Top Democrats question IRS on DOGE access to taxpayer data,https://thehill.com/wp-content/uploads/sites/2/2025/02/AP25029558084969-e1739283545403.jpg?w=1280,2025-02-17 17:45:33 +0000,Top Democrats in Congress want to know what Elon Musk’s Department of Government Efficiency (DOGE) plans to do at the Internal Revenue Service (IRS) after multiple outlets reported the advisory unit sought access to the sensitive IRS systems. Senate Finance C…,['news_media'],,Yes,Real
Firefighters' Institute for Racial Equality starts EMT scholarship fund,,2025-02-17 17:07:34 +0000,"ST. LOUIS - The Firefighters Institute for Racial Equality (F.I.R.E.) Retirees has launched a scholarship fund named after Captain George Baker to support aspiring Emergency Medical Technicians (EMTs) and Paramedics.
The scholarship, supported by the Athletes to First Responder Charitable Fund, Inc....","['regional', 'st-louis']",Kelley Hoskins,No,Real
Nereus Announces Launch of DAO and Staking Program: Empowering Users to Earn Rewards and Influence the Future,/next-assets/images/schema-image-default.png,2025-02-17 16:42:00 +0000,"HONG KONG, Feb. 17, 2025 /PRNewswire/ -- Nereus, a leading decentralized finance (DeFi) platform, is excited to announce the launch of its Staking Program and Governance Decentralized Autonomous Organization (DAO),",['finance'],PRNewswire,No,Real
UK Supreme Court Rejects Reeves’ Motor Finance Intervention,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iPrTySUD0e3k/v1/1200x808.jpg,2025-02-17 15:30:51 +0000,"The UK’s Supreme Court refused to let the Treasury intervene in a landmark court case over controversial car loans, dealing a blow to Chancellor Rachel Reeves who had sought to argue that the suit was hindering Britain’s regulatory environment.",['general'],,Yes,Real
"ACET (ACT) Secures MOU with Saif Belhasa Holding, Paving the Way for Blockchain-Powered Finance in the UAE",,2025-02-17 14:29:30 +0000,"LONDON, Feb. 17, 2025 (GLOBE NEWSWIRE) -- ACET (ACT), a global blockchain-driven digital asset, has signed a landmark Memorandum of Understanding (MOU) with Saif Belhasa Holding (SBH), one of the most influential business conglomerates in the Middle East and UAE. This collaboration is set to revolut...",['finance'],Globe Newswire,Unknown,Unknown
"As a personal finance expert, this is the worst savings advice I see on social media",https://s.yimg.com/ny/api/res/1.2/qUTz_2o9whajwUpsKxkjzQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2025-02/b7af8b30-eb0a-11ef-bfff-aa2fc8acf795,2025-02-17 14:00:13 +0000,"Social media is chock full of money and savings advice — and a lot of it is bad. Here’s the worst savings advice on social media, according to one financial expert.",['general'],Ivana Pino,No,Real
Five alarm warning': Possible DOGE access to private taxpayer data sparks outcry,,2025-02-17 13:50:07 +0000,"Democrats and tax experts are sounding alarms about a plan by Elon Musk's DOGE team to gain access to an IRS system that contains detailed financial information about millions of taxpayers, including their tax returns.""This is a five-alarm warning,"" Rep. Jimmy Gomez (D-Calif.), a member of the House...",['politics'],Toby Eckert and Megan Messerly,Yes,Real
Housing starts for January 2025,,2025-02-17 13:15:00 +0000,"OTTAWA, ON, Feb. 17, 2025 /CNW/ - The six-month trend in housing starts declined 2.5% in January to 236,892 units, according to Canada Mortgage and Housing Corporation (CMHC). The trend measure is a six-month moving average of the seasonally adjusted annual rate (SAAR) of total housing starts for al...",['finance'],PRNewswire,Unknown,Unknown
"The Global South Needs Fair, Equitable, and Enduring Climate Finance",,2025-02-17 13:03:13 +0000,"The global commitment to fair climate finance is at a crossroads. COP29 concluded with a disappointing New Collective Quantified Goal on Climate Finance, or NCQG, leaving developing nations at risk of being left behind. With the U.S. withdrawing from the Paris agreement and slashing development aid,...","['left-wing', 'opinion']",Jaël Poel,No,Real
Open Source Project: Empowering Financial Education,,2025-02-17 12:58:00 +0000,"In today's fast-paced world, financial literacy is more crucial than ever. Yet, many individuals find themselves priced out of quality financial education resources. Enter open source projects, a beacon of hope for those seeking to enhance their financial knowledge without breaking the bank. These i...",['programming'],Zhang Wei,No,Real
Grand Theft Auto 6 may release on PC only a few months after the console launch,https://static.tweaktown.com/news/1/0/103321_13312_grand-theft-auto-6-may-release-on-pc-only-few-months-after-the-console-launch_full.jpg,2025-02-17 12:33:03 +0000,"Corsair's VP of finance has said during an earnings call that he believes Grand Theft Auto 6 will be released on PC, and it's not one whole year later.",['game'],Jak Connor,Yes,Real
Flatbed operator and aggregator PS Logistics holds on to debt rating at Moody’s,https://www.freightwaves.com/uploads/2025/02/17/F35_6210-Enhanced-NR-Edit-1200x675.jpg,2025-02-17 11:20:51 +0000,"PS Logistics hangs on to its debt rating at Moody’s, giving a look at the finances of the privately held flatbed operator.","['logistic', 'industry']",John Kingston,Unknown,Unknown
"Mortgage and refinance rates today, February 17, 2025: How to get a good mortgage rate when rates are high",,2025-02-17 11:00:12 +0000,"These are today's mortgage and refinance rates. The 30-year rate has stayed above 6.5% all year, but there are ways to get a better rate. Lock in your rate today.",['general'],Laura Grace Tarpley,No,Real
FTI Consulting Strengthens Business Transformation Capabilities with Addition of Senior Managing Director Timothée Fraisse,https://ml.globenewswire.com/Resource/Download/7baf2810-17ee-492d-8c50-d64cadf49073,2025-02-17 07:00:38 +0000,"PARIS, Feb. 17, 2025 (GLOBE NEWSWIRE) -- FTI Consulting, Inc (NYSE: FCN) today announced the appointment of Timothée Fraisse as a Senior Managing Director in the firm's Corporate Finance & Restructuring segment in France....",['company'],"FTI Consulting, Inc.",Unknown,Unknown
New to investing? Here are 7 SC-licensed apps in M'sia to take control of your finances.,https://vulcanpost.com/wp-content/uploads/2025/02/Wealth-Management-Apps-001.png,2025-02-17 06:25:24 +0000,With one site.,['technology'],Ryan Tan,Unknown,Unknown
MrBeast Shuts Down 'MrBroke' Claim After Getting Caught Flying Coach—Says He's 'Just Chilling',https://cdn.benzinga.com/files/images/story/2025/02/17/MrBeast-photo-via-Shutterstock.jpeg?width=1200&height=800&fit=crop,2025-02-17 05:58:42 +0000,"A viral social media post sparked speculation about Jimmy Donaldson, better known as MrBeast's finances after a user spotted him flying economy on EVA Air.

What Happened: On Sunday, a user on X, form...",['finance'],Ananya Gairola,Unknown,Unknown
NOTICE OF PUBLIC HEARING HOUSI... - Sun Sentinel | Classifieds,,2025-02-17 05:05:52 +0000,"NOTICE IS HEREBY GIVEN, pursuant to Section 147(f) of the Internal Revenue Code of 1986, as amended, that the Housing Finance Authority of Broward ......",['regional'],,No,Real
CENTCOM kills Hurras al-Din operative in Syria - UPI.com,https://cdnph.upi.com/ph/st/th/8121739766845/2025/upi_com/04368b9a1d3c024541d56f390a046551/v2.1/CENTCOM-kills-Hurras-al-Din-operative-in-Syria.jpg?lg=4,2025-02-17 05:05:15 +0000,"The U.S. military conducted airstrikes in northwest Syria, killing a senior finance and logistics official of the al-Qaida affiliate Hurras al-Din.",['world'],Darryl Coote,Unknown,Unknown
Star Gets Potential Lifeline as Oaktree Offers Debt Refinancing,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ij8l4roNWbY8/v0/1200x800.jpg,2025-02-16 23:13:01 +0000,"Star Entertainment Group Ltd. received a potential lifeline from alternative asset manager Oaktree Capital Management, which offered to refinance A$650 million ($413 million) of the struggling Australian casino operator’s debt.",['general'],,Yes,Real
Dave Ramsey warns Americans about a major Medicare problem,,2025-02-16 17:13:00 +0000,"American workers planning for retirement face the challenge of handling the often complicated task of choosing from several Medicare options for their health care coverage.Personal finance author and radio host Dave Ramsey acknowledges that the dates, rules and options regarding Medicare coverage in...","['finance', 'market']",Jeffrey Quiggle,Unknown,Unknown
Tony Robbins has blunt words on a major Social Security fear,,2025-02-16 16:33:00 +0000,"Anyone who is planning for retirement and preparing to claim Social Security benefits must do a lot of math to determine exactly what they will need every month to live comfortably. Yet, according to the Employee Benefit Research Institute (EBRI), only around half of workers (48%) have tried to calc...","['finance', 'market']",Dana Sullivan Kilroy,Unknown,Unknown
"Chicago Atlantic Real Estate Finance, Inc. (NASDAQ:REFI) Sees Large Decline in Short Interest",https://www.marketbeat.com/logos/chicago-atlantic-real-estate-finance-inc-logo-1200x675.png?v=20240528162548,2025-02-16 14:27:59 +0000,"Chicago Atlantic Real Estate Finance, Inc. (NASDAQ:REFI - Get Free Report) saw a large decline in short interest during the month of January. As of January 31st, there was short interest totalling 263,800 shares, a decline of 18.0% from the January 15th total of 321,900 shares. Currently, 1.6% of t...",['finance'],MarketBeat,Yes,Real
"Catholics hopeful on abortion, health policy after Kennedy's confirmation as HHS secretary",,2025-02-16 12:30:00 +0000,"Robert F. Kennedy Jr., President Donald Trump's nominee for secretary of the Department of Health and Human Services, testifies during his Senate Finance Committee confirmation hearing at the Dirksen Senate Office Building on Jan. 29, 2025, in Washington, D.C. / Credit: Win McNamee/Getty Images

Was...","['religion', 'catholic']",catholicnewsagency,Unknown,Unknown
Warren Buffett Continues To Quietly Sell: More 13F Intrigue,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/492444164/image_492444164.jpg?io=getty-c-w1536,2025-02-16 12:25:41 +0000,"Author and entrepreneur. My articles typically cover macroeconomic trends, portfolio strategy, value investing, and behavioral finance. I like to profit from the biases and constraints of other invest...","['business', 'finance']",SeekingAlpha.com,Unknown,Unknown
Trump's LNG Export Extortion Racket,,2025-02-16 12:01:03 +0000,"In the last few days, Taiwan, India and Japan made clear they will be buying exported American LNG in the months and years ahead. Why? Entirely in an effort to hold off tariffs from the Trump administration. As the Japanese prime minister put it, ""We will cooperate to strengthen energy security betw...","['left-wing', 'opinion']",Bill Mckibben,Unknown,Unknown
Fed's focus shift: From data to policy,https://s.yimg.com/ny/api/res/1.2/sjHUn1oeIoGPiBWOS88f6w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY-/https://s.yimg.com/os/creatr-uploaded-images/2025-02/e77675e0-e876-11ef-bffb-57f755a42a7f,2025-02-16 12:00:40 +0000,"As the country faces whiplash under Trump's deluge of executive actions, Jerome Powell and the Federal Open Market Committee are left reacting despite the data they usually rely on, explained Apollo Chief Economist Torsten Sløk to Yahoo Finance Executive Editor Brian Sozzi on a recent episode of Ope...",['general'],Brian Sozzi,Unknown,Unknown
Synovus Financial: A Beneficiary Of Banking Deregulation Under Trump,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1977075709/image_1977075709.jpg?io=getty-c-w1536,2025-02-16 10:23:39 +0000,"Michael A. Gayed is portfolio manager, and author of five award-winning research papers on market anomalies and investing. He has a BS with a double major in Finance & Management from NYU Stern School...","['business', 'finance']",SeekingAlpha.com,Unknown,Unknown
East Timor's Challenges Two Decades After Independence,https://static01.nyt.com/images/2025/02/11/multimedia/00easttimor-HP/00easttimor-01-jgcw-facebookJumbo.jpg,2025-02-16 05:01:18 +0000,"East Timor has become a stable democracy after securing independence in 2002. But its finances are precarious, and nearly half of its people live in poverty.",['world'],Sui-Lee Wee,Yes,Real
"What’s my horoscope today? Pisces, help out family with finances (02/16/25)",https://www.mlive.com/resizer/v2/SAGJVB5QCZCNFBN2U2NE2O4GTE.png?auth=c0f524b9dcf3ae13e784b4cce0a0efa41ba99b79ecc98cc4246df8f930914114&width=1280&quality=90,2025-02-16 05:01:00 +0000,"See Zodiac signs and horoscopes on 02/16/25 for today’s birthday and Aquarius, Pisces, Aries, Taurus, Gemini, Cancer, Leo, Virgo, Libra, Scorpio, Sagittarius, Capricorn.","['regional', 'grand-rapids', 'michigan']",Nancy Black |,Yes,Real
